,Titles,Prices,Evaluations,Numbers of evaluators,Urls
0,J'arrête le sucre en 20 jours,"16,50€","4,4",17,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05489616JY3GVJGFZJG&url=%2FJarr%25C3%25AAte-sucre-en-20-jours%2Fdp%2F2359345486%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-49-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
1,La pâtisserie : Place à la gourmandise !,"21,99€","4,1",6,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02802571SPUIJW4BPP83&url=%2Fp%25C3%25A2tisserie-Place-%25C3%25A0-gourmandise%2Fdp%2F2322252387%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-50-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
2,Régime À Faible Teneur En Glucides + Plan De Repas: Plus De 60 Recettes Faciles Pour Perdre Du Poids - Enfin Brûler Les Graisses Et Retrouver La Santé (Low Carb Cookbook French Book),"19,95€","3,9",102,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09997301W4QRSJGZHTWQ&url=%2FR%25C3%25A9gime-Faible-Teneur-Glucides-Repas%2Fdp%2F177435120X%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-51-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
3,Mincir sainement avec le régime Okinawa: Les secrets pour vivre en forme jusqu'à 100 ans et plus - Inclus 21 recettes minceur,"8,99€","3,8",17,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05700721AVAGC5DVRBS&url=%2FMincir-sainement-avec-r%25C3%25A9gime-Okinawa%2Fdp%2F1533650438%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-52-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
4,Dash minceur,"18,00€","4,2",336,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_53?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-53
5,"80 Recettes lights au Cookéo: Gardez la ligne avec ces 80 recettes lights au Cookeo, salées et sucrées. Découvrez-les dès maintenant !","9,89€","4,6",396,https://www.amazon.fr//Recettes-lights-Cook%C3%A9o-D%C3%A9couvrez-maintenant/dp/170038919X/ref=sr_1_54?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-54
6,Cuisiner light avec thermomix,"29,95€","3,7",17,https://www.amazon.fr//Cuisiner-light-thermomix-B%C3%A9reng%C3%A8re-Abraham/dp/203595486X/ref=sr_1_55?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-55
7,Bowlfood Minceur - Mes petites recettes à index glycémiques bas,"14,90€","3,8",101,https://www.amazon.fr//Bowlfood-Minceur-petites-recettes-glyc%C3%A9miques/dp/2359344749/ref=sr_1_56?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-56
8,Petit Livre de - 120 recettes vapeur et minceur,"16,00€","3,7",46,https://www.amazon.fr//Petit-Livre-recettes-vapeur-minceur/dp/2754073787/ref=sr_1_57?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-57
9,La Grande Cuisine Minceur,"11,90€","3,9",48,https://www.amazon.fr//Grande-Cuisine-Minceur-Michel-GU%C3%89RARD/dp/2221112970/ref=sr_1_58?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-58
10,52 semaines de minceur : Vos menus pour toute l'année,"7,91€","4,3",47,https://www.amazon.fr//52-semaines-minceur-menus-lann%C3%A9e/dp/2253165611/ref=sr_1_59?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-59
11,Huiles essentielles spécial minceur: Un programme naturel de 21 jours,"7,95€","3,7",44,https://www.amazon.fr//Huiles-essentielles-sp%C3%A9cial-minceur-programme/dp/2226398694/ref=sr_1_60?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-60
12,SMOOTHIES POUR PERDRE DU POIDS : 37 RECETTES FACILES POUR PERDRE DU POIDS EN SE FAISANT PLAISIR,"12,00€","4,6",32,https://www.amazon.fr//SMOOTHIES-POUR-PERDRE-DU-POIDS/dp/B086Y4DX76/ref=sr_1_61?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-61
13,AGENDA MINCEUR 90 Jours: Journal alimentaire et d’activité sportive à compléter pendant 90 jours - Cahier de suivi de régime journalier - journal alimentaire calorique et sportif,"6,95€","4,2",74,https://www.amazon.fr//AGENDA-MINCEUR-Jours-alimentaire-journalier/dp/B08FB17JC3/ref=sr_1_62?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-62
14,Mes recettes détox super gourmandes,"9,90€","4,4",30,https://www.amazon.fr//Mes-recettes-d%C3%A9tox-super-gourmandes/dp/2360981501/ref=sr_1_63?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-63
15,Cuisine minceur - super facile,"9,58€","4,2",125,https://www.amazon.fr//Cuisine-minceur-facile-V%C3%A9ronique-LIEGEOIS/dp/2263146482/ref=sr_1_64?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-64
16,Mon cahier OBJECTIF minceur printemps-été,"11,92€","3,8",79,https://www.amazon.fr//Mon-cahier-OBJECTIF-minceur-printemps-%C3%A9t%C3%A9/dp/2263154833/ref=sr_1_65?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-65
17,Régime Keto: Découvrez 105 recettes cétogènes délicieuses et inratables !,"16,90€","4,6",1 001,https://www.amazon.fr//R%C3%A9gime-Keto-D%C3%A9couvrez-d%C3%A9licieuses-inratables/dp/B08ZF5SG9C/ref=sr_1_66?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-66
18,Recettes Weight Watchers: Des recettes faciles simples et équilibrées calculées avec la méthode de points Weight Watchers.,"16,95€","4,4",45,https://www.amazon.fr//Recettes-Weight-Watchers-%C3%A9quilibr%C3%A9es-calcul%C3%A9es/dp/B08CWM86DF/ref=sr_1_67?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-67
19,Agenda Minceur 365 jours: Agenda minceur et forme pour le suivi de votre régime ou de votre rééquilibrage alimentaire | Cahier minceur à compléter ... 1 an | Carnet alimentaire femme ou homme,"23,00€","4,6",1 032,https://www.amazon.fr//Agenda-Minceur-365-jours-r%C3%A9%C3%A9quilibrage/dp/B091WM9JDF/ref=sr_1_68?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-68
20,Le grand livre de l'extracteur de jus: 300 recettes pour faire le plein de vitamines,"7,99€","4,2",30,https://www.amazon.fr//grand-livre-lextracteur-jus-vitamines/dp/2035948177/ref=sr_1_69?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-69
21,Ma bible de la naturopathie - Spécial minceur,"11,90€","4,7",63,https://www.amazon.fr//Ma-bible-naturopathie-sp%C3%A9cial-minceur/dp/B07NHQVDV6/ref=sr_1_70?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-70
22,Recettes mini budget avec cookeo (Moulinex D&T),"19,95€","3,0",14,https://www.amazon.fr//Recettes-mini-budget-cookeo-Moulinex-ebook/dp/B07MTCSN3S/ref=sr_1_71?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-71
23,Calendrier 365 recettes légères Marmiton - L'Année à Bloc,"12,50€","3,5",2,https://www.amazon.fr//Ann%C3%A9e-Bloc-recettes-l%C3%A9g%C3%A8res-Marmiton/dp/2809658048/ref=sr_1_72?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-72
24,Recettes light inratables !,"14,90€","3,7",88,https://www.amazon.fr//Recettes-light-inratables-No%C3%A9mie-Strouk/dp/203593396X/ref=sr_1_73?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-73
25,Comment perdre 10kg en 14 jours avec le régime Thonon: une méthode efficace et rapide pour perdre du poids,"8,00€","3,9",60,https://www.amazon.fr//Comment-perdre-jours-r%C3%A9gime-Thonon/dp/B089M1H3XC/ref=sr_1_74?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-74
26,Les soupes minceur,"11,90€","3,8",395,https://www.amazon.fr//soupes-minceur-Philippe-Chavanne/dp/2359345575/ref=sr_1_75?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-75
27,Régime IG - Perdez 3 kilos dès la première semaine,"6,98€","3,7",30,https://www.amazon.fr//R%C3%A9gime-IG-Perdez-premi%C3%A8re-semaine/dp/2359344765/ref=sr_1_76?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-76
28,"Jeûne Intermittent: Perdre du poids, améliorer votre santé et vivre longtemps","5,49€","4,4",322,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0000312SSNNLDGMOADZ&url=%2FJe%25C3%25BBne-Intermittent-Perdre-am%25C3%25A9liorer-longtemps%2Fdp%2FB08DC5VYXK%2Fref%3Dsr_1_77_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-77-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_mtf
29,"Recettes cétogène: 77 recettes délicieuses – Petit-déjeuner, déjeuner, dîner, smoothies, desserts","12,00€","4,5",282,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A016745426KKQ3ON62MXE&url=%2FRecettes-c%25C3%25A9tog%25C3%25A8ne-d%25C3%25A9licieuses-Petit-d%25C3%25A9jeuner-smoothies%2Fdp%2F1975651472%2Fref%3Dsr_1_78_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-78-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_mtf
30,"Pourquoi je mange ?: Méthode minceur Nouvelle édition ! confinement, grignotage, revoir son alimentation et perdre du poids (Pourquoi je mange, méthode minceur t. 1)","9,95€","4,3",356,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07235621UP6SBQNFN0YD&url=%2FPourquoi-mange-confinement-grignotage-alimentation-ebook%2Fdp%2FB081Z5JPLH%2Fref%3Dsr_1_79_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-79-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_mtf
31,Gâteaux et douceurs à indice glycémique bas,"19,90€","3,5",31,https://www.amazon.fr//G%C3%A2teaux-douceurs-%C3%A0-IG-bas/dp/2360981994/ref=sr_1_80?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-80
32,Plats du soir avec cookeo,"8,94€","4,3",42,https://www.amazon.fr//Plats-du-soir-avec-cookeo/dp/2295008891/ref=sr_1_81?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-81
33,La Méthode hépato-détox: Mincir durablement et sans danger grâce au foie,"9,95€","4,4",95,https://www.amazon.fr//R%C3%A9gime-h%C3%A9pato-d%C3%A9tox-Mincir-durablement-danger/dp/2226440984/ref=sr_1_82?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-82
34,"Recettes Light au Thermomix: Des Recettes allégées et légères au Thermomix, simples et fiables à réaliser avec votre TM6, TM5 ou TM31.","9,90€","4,3",156,https://www.amazon.fr//Recettes-Light-Thermomix-all%C3%A9g%C3%A9es-r%C3%A9aliser/dp/B08D4VS7PC/ref=sr_1_83?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-83
35,Aliments à calories négatives & autres ingrédients minceur,"7,95€","4,4",92,https://www.amazon.fr//Aliments-calories-n%C3%A9gatives-ingr%C3%A9dients-minceur/dp/2035945143/ref=sr_1_84?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-84
36,Mon Cahier de Recettes,"7,99€","4,6",259,https://www.amazon.fr//Mon-Cahier-Recettes-St%C3%A9phanie-JOUAN/dp/2263155848/ref=sr_1_85?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-85
37,150 recettes light au robot-cuiseur,"12,90€","4,3",392,https://www.amazon.fr//150-recettes-light-au-robot-cuiseur/dp/2412042756/ref=sr_1_86?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-86
38,Pilates,"7,95€","3,9",3,https://www.amazon.fr//Pilates-Bakary-Sissako/dp/2013919409/ref=sr_1_87?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-87
39,"La cuisine à IG bas, c'est bon pour moi !","6,93€","4,7",346,https://www.amazon.fr//cuisine-bas-cest-bon-pour/dp/2035972493/ref=sr_1_88?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-88
40,Simplissime - Les recettes au cuit-vapeur les + faciles du monde,"13,90€","4,7",3 253,https://www.amazon.fr//Simplissime-recettes-cuit-vapeur-faciles-monde/dp/2019497859/ref=sr_1_89?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-89
41,Carnet suivi perte de poids | Fitness Edition - 365 jours suivi simple et efficace : Suivre chaque jour l’évolution de vos objectifs minceur ou santé,"19,95€","4,5",1 213,https://www.amazon.fr//Carnet-suivi-perte-poids-Fitness/dp/B08HGNS644/ref=sr_1_90?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-90
42,Mes recettes gourmandes et healthy par FatSecretFrance,"7,99€","4,3",225,https://www.amazon.fr//Mes-recettes-gourmandes-healthy-FatSecretFrance/dp/2263170588/ref=sr_1_91?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-91
43,La bible officielle du cookeo: 200 recettes incontournables pour cuisiner au quotidien,"6,95€","4,2",62,https://www.amazon.fr//bible-officielle-cookeo-incontournables-quotidien/dp/2035961025/ref=sr_1_92?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-92
44,Le grand livre de l'alimentation cétogène (Guides pratiques),"9,90€","4,2",390,https://www.amazon.fr//grand-livre-lalimentation-c%C3%A9tog%C3%A8ne-GUI-PRAT-ebook/dp/B076BP9741/ref=sr_1_93?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-93
45,Mes recettes light au Cookeo - super facile,"6,00€","5,0",1,https://www.amazon.fr//Mes-recettes-light-Cookeo-facile/dp/2263169466/ref=sr_1_94?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-94
46,Mon cahier Objectif zéro sucre en 12 semaines,"5,99€","4,0",4,https://www.amazon.fr//cahier-Objectif-z%C3%A9ro-sucre-semaines/dp/2263157778/ref=sr_1_95?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-95
47,Mes petites recettes magiques 100% jus détox,"8,99€","3,9",102,https://www.amazon.fr//petites-recettes-magiques-100-d%C3%A9tox/dp/B078FFX769/ref=sr_1_96?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-96
48,Agenda Minceur - 98 jours de suivi: Journal alimentaire et d’activité sportive - Cahier de suivi de régime : Planificateur semaine - Suivi journalier ... de votre perte de poids (désign élégant),"4,99€","4,3",213,https://www.amazon.fr//Agenda-Minceur-alimentaire-Planificateur-journalier/dp/B08731CQ23/ref=sr_1_97?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-97
49,Agenda Minceur 90 jours: Journal alimentaire et carnet de suivi sportif | Cahier minceur à compléter chaque jour pour le suivi de votre régime ou de votre rééquilibrage alimentaire,"19,95€","4,4",213,https://www.amazon.fr//Agenda-Minceur-jours-alimentaire-r%C3%A9%C3%A9quilibrage/dp/B08RYCLQN1/ref=sr_1_98?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-98
50,Mincir sainement avec le régime Okinawa: Les secrets pour vivre en forme jusqu’à 100 ans et plus - Inclus 21 recettes minceur,"22,00€","1,0",1,https://www.amazon.fr//Mincir-sainement-avec-r%C3%A9gime-Okinawa-ebook/dp/B01B4MIVXU/ref=sr_1_99?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-99
51,"En 1 heure, je cuisine mes lunchs box pour toute la semaine","9,40€","3,8",123,https://www.amazon.fr//heure-cuisine-lunchs-toute-semaine/dp/2017084581/ref=sr_1_100?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-100
52,Les secrets de la cuisine à indice glycémique bas,"6,10€","4,0",19,https://www.amazon.fr//secrets-cuisine-IG-bas-silhouette/dp/2360982435/ref=sr_1_101?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-101
53,"MES 100 RECETTES CUISINE RAPIDE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Maigrir I Mincir I Perdre du poid I","6,99€","3,8",123,https://www.amazon.fr//MES-RECETTES-CUISINE-RAPIDE-MINCEUR/dp/B08BWFVXZL/ref=sr_1_102?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-102
54,"mon agenda minceur: livre agenda minceur pour 90 jours suivi de regime reequilibrage alimentaire croq,completer la motivation,recette,et menu, ... pour perte de poids maigrir pour regime femme","5,99€","4,4",457,https://www.amazon.fr//mon-agenda-minceur-reequilibrage-alimentaire/dp/B08Y9FL7PH/ref=sr_1_103?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-103
55,Régime Cétogène: Challenge 14 jours,"24,90€","5,0",3,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0614319J4QOF4PZECTJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Challenge-14-jours%2Fdp%2F1975651332%2Fref%3Dsr_1_104_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-104-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_btf
56,Indélébile,"5,99€","4,4",316,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08577951H0M45L2A2MZW&url=%2FInd%25C3%25A9l%25C3%25A9bile-Val%25C3%25A9rie-Anvers-ebook%2Fdp%2FB08T3NHBY5%2Fref%3Dsr_1_105_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-105-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_btf
57,Régime Cétogène: Challenge 14 jours,"16,90€","4,3",176,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A06062833T6SN7BOI2YFC&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Challenge-14-jours-ebook%2Fdp%2FB074YPJLGL%2Fref%3Dsr_1_97_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-97-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_atf_next
58,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture de légumes 2148","7,99€","3,8",60,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0090306154S4H6EJQFMA&url=%2FMon-planificateur-menus-alimentaire-Couverture%2Fdp%2F1700812149%2Fref%3Dsr_1_98_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-98-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_atf_next
59,Pourquoi je mange ? Mon cahier planning minceur: Mettre en pratique la méthode chez soi,"6,99€","4,3",8,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A01838223575MM24KP0PK&url=%2FPourquoi-mange-cahier-planning-minceur%2Fdp%2FB08DSYQ7S9%2Fref%3Dsr_1_99_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-99-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_atf_next
60,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture de fruits 2292","8,99€","4,4",35,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00905501RO36SCA2065K&url=%2FMon-planificateur-menus-alimentaire-Couverture%2Fdp%2F1700812297%2Fref%3Dsr_1_100_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-100-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_atf_next
61,230 recettes gourmandes pour mincir sur mesure,"7,90€","4,5",99,https://www.amazon.fr//recettes-gourmandes-pour-mincir-mesure/dp/2226241558/ref=sr_1_101?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-101
62,Régime Keto pour débutants: Défi de 21 jours pour convertir votre corps en une machine à brûler les graisses pour vivre plus sainement + 75 Recettes Cétogènes Adaptées (Régime Cétogène),"9,40€","4,4",316,https://www.amazon.fr//R%C3%A9gime-Keto-pour-d%C3%A9butants-convertir/dp/1713287668/ref=sr_1_102?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-102
63,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","5,99€","3,9",6,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXLW5D/ref=sr_1_103?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-103
64,"Les Mots Mêlés du Vin: livre de jeu sur le vin (AOPs, cépages, régions viticoles, lexique, etc.)","15,90€","4,4",133,https://www.amazon.fr//Mots-M%C3%AAl%C3%A9s-Vin-c%C3%A9pages-viticoles/dp/B08KKH19LL/ref=sr_1_104?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-104
